ID,Project Title,Owner,Owner Type,Status,Country,Assign To
4755,BOXOOO,Vision Business Services Co.,Contractor,Under Study,Saudi Arabia,Unassigned
4756,BOXOOO,Vision Business Services Co.,Contractor,Sent,Saudi Arabia,Fatma Hesham
4757,Bread Factory,ORAK,-,Sent,Saudi Arabia,Unassigned
4758,Bread Factory,ORAK,-,Sent,Saudi Arabia,Unassigned
4759,Bread Factory,ORAK,-,Sent,Saudi Arabia,Unassigned
4760,Bread Factory,ORAK,-,Sent,Saudi Arabia,Unassigned
4761,B-S-1562 - Sports Boulevard Foundation (SPBF),El Seif Engineering Contracting Co,-,cold case,Saudi Arabia,Unassigned
4762,B-S-1562 - Sports Boulevard Foundation (SPBF),El Seif Engineering Contracting Co,-,Sent,Saudi Arabia,Mohamed Ali
4763,B-S-1562 - Sports Boulevard Foundation (SPBF),El Seif Engineering Contracting Co,-,Sent,Saudi Arabia,Mohamed Ali
4764,B-S-1562 - Sports Boulevard Foundation (SPBF),El Seif Engineering Contracting Co,-,Sent,Saudi Arabia,Mohamed Ali
4765,Buruj Masiyah Bidding,Buruj Masiyah Bidding,-,Lose,Saudi Arabia,Faiza Ahmed
4766,Buruj Masiyah Bidding,Buruj Masiyah Bidding,-,Lose,Saudi Arabia,Sherouk Ramdan
4767,Buruj Masiyah Bidding,Buruj Masiyah Bidding,-,Lose,Saudi Arabia,Sherouk Ramdan
4768,Business Avenue,AICC,Contractor,Lose,Saudi Arabia,Faiza Ahmed
4769,Business Avenue,AICC,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4770,Business Avenue,AICC,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4771,CASA,Multi Works Co,-,Lose,Saudi Arabia,Mohamed Ali
4772,CASA,Multi Works Co,-,Lose,Saudi Arabia,Sherouk Ramdan
4773,CASA,Multi Works Co,-,Lose,Saudi Arabia,Sherouk Ramdan
4774,CASA,Multi Works Co,-,Lose,Saudi Arabia,Sherouk Ramdan
4775,Ceer Automotive,MBL,-,cold case,Saudi Arabia,Fathy Keshk
4776,CENTER FOR SAFEGUARDING INTELLECT,Riyadh Villas Contracting Company,Contractor,Under Study,Saudi Arabia,Unassigned
4777,CENTER FOR SAFEGUARDING INTELLECT,Riyadh Villas Contracting Company,Contractor,Under Study,Saudi Arabia,Unassigned
4778,CENTER FOR SAFEGUARDING INTELLECT,Riyadh Villas Contracting Company,Contractor,Under Study,Saudi Arabia,Unassigned
4779,CENTER FOR SAFEGUARDING INTELLECT,Riyadh Villas Contracting Company,Contractor,Under Study,Saudi Arabia,Unassigned
4780,CENTRAL ARCHIVE BUILDING,Alghanim International,Contractor,Postponed,Saudi Arabia,Faiza Ahmed
4781,Chedi Hegra,Craft Group,-,Lose,Saudi Arabia,Unassigned
4782,Chedi Hegra,Craft Group,-,Lose,Saudi Arabia,Unassigned
4783,Chedi Hegra,Craft Group,-,cold case,Saudi Arabia,Unassigned
4784,Chedi Hegra,Craft Group,-,Lose,Saudi Arabia,Unassigned
4785,CHEVRON RESIDENTIAL COMPLEX,DTC,Contractor,cold case,Saudi Arabia,Faiza Ahmed
4786,Civil Defense Training Center in Qassim,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4787,Civil Defense Training Center in Qassim,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4788,Civil Defense Training Center in Qassim,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4789,Civil Defense Training Center in Qassim,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4790,Cluster 5 - Munsiya,Ramz Kayan,-,Sent,Saudi Arabia,Unassigned
4791,Cluster 5 - Munsiya,Ramz Kayan,-,Sent,Saudi Arabia,Unassigned
4792,Cluster 5 - Munsiya,Ramz Kayan,-,cold case,Saudi Arabia,Unassigned
4793,Coast guard project,Al Fahd Company,-,Sent,Saudi Arabia,Faiza Ahmed
4794,COMPREHENSIVE CORRIDOR DEVELOPMENT PLAN FOR KING ABDULAZIZ ROAD,China State Construction,Contractor,cold case,Saudi Arabia,Unassigned
4795,COMPREHENSIVE CORRIDOR DEVELOPMENT PLAN FOR KING ABDULAZIZ ROAD,China State Construction,Contractor,Sent,Saudi Arabia,Mohamed Ali
4796,COMPREHENSIVE CORRIDOR DEVELOPMENT PLAN FOR KING ABDULAZIZ ROAD,China State Construction,Contractor,Sent,Saudi Arabia,Mohamed Ali
4797,COMPREHENSIVE CORRIDOR DEVELOPMENT PLAN FOR KING ABDULAZIZ ROAD,China State Construction,Contractor,Sent,Saudi Arabia,Mohamed Ali
4798,COMPREHENSIVE CORRIDOR DEVELOPMENT PLAN FOR PRINCE TURKI ROAD,SAMA Construction,-,Lose,Saudi Arabia,Unassigned
4799,COMPREHENSIVE CORRIDOR DEVELOPMENT PLAN FOR PRINCE TURKI ROAD,SAMA Construction,-,Lose,Saudi Arabia,Ahmed Mosbah
4800,Construction of Facility For Green Riyadh,Abdullah  Al Sayegh,-,Lose,Saudi Arabia,Mahmoud Hassan
